,Team,RS,RA,OBP,SLG,BA,Playoffs
1,ARI,734,688,0.328,0.418,0.259,0
2,ATL,700,600,0.32,0.389,0.247,1
5,CHC,613,759,0.302,0.378,0.24,0
6,CHW,748,676,0.318,0.422,0.255,0
7,CIN,669,588,0.315,0.411,0.251,1
8,CLE,667,845,0.324,0.381,0.251,0
9,COL,758,890,0.33,0.436,0.274,0
10,DET,726,670,0.335,0.422,0.268,1
12,KCR,676,746,0.317,0.4,0.265,0
13,LAA,767,699,0.332,0.433,0.274,0
14,LAD,637,597,0.317,0.374,0.252,0
15,MIA,609,724,0.308,0.382,0.244,0
17,MIN,701,832,0.325,0.39,0.26,0
19,NYY,804,668,0.337,0.453,0.265,1
20,OAK,713,614,0.31,0.404,0.238,1
22,PIT,651,674,0.304,0.395,0.243,0
23,SDP,651,710,0.319,0.38,0.247,0
24,SEA,619,651,0.296,0.369,0.234,0
26,STL,765,648,0.338,0.421,0.271,1
27,TBR,697,577,0.317,0.394,0.24,0
28,TEX,808,707,0.334,0.446,0.273,1
29,TOR,716,784,0.309,0.407,0.245,0
31,ARI,731,662,0.322,0.413,0.25,1
32,ATL,641,605,0.308,0.387,0.243,0
34,BOS,875,737,0.349,0.461,0.28,0
35,CHC,654,756,0.314,0.401,0.256,0
36,CHW,654,706,0.319,0.388,0.252,0
37,CIN,735,720,0.326,0.408,0.256,0
38,CLE,704,760,0.317,0.396,0.25,0
40,DET,787,711,0.34,0.434,0.277,1
41,FLA,625,702,0.318,0.388,0.247,0
42,HOU,615,796,0.311,0.374,0.258,0
43,KCR,730,762,0.329,0.415,0.275,0
44,LAA,667,633,0.313,0.402,0.253,0
45,LAD,644,612,0.322,0.375,0.257,0
48,NYM,718,742,0.335,0.391,0.264,0
51,PHI,713,529,0.323,0.395,0.253,1
52,PIT,610,712,0.309,0.368,0.244,0
54,SEA,556,675,0.292,0.348,0.233,0
55,SFG,570,578,0.303,0.368,0.242,0
56,STL,762,692,0.341,0.425,0.273,1
57,TBR,707,614,0.322,0.402,0.244,1
60,WSN,624,643,0.309,0.383,0.242,0
61,ARI,713,836,0.325,0.416,0.25,0
62,ATL,738,629,0.339,0.401,0.258,1
63,BAL,613,785,0.316,0.386,0.259,0
67,CIN,790,685,0.338,0.436,0.272,1
68,CLE,646,752,0.322,0.378,0.248,0
69,COL,770,717,0.336,0.425,0.263,0
70,DET,751,743,0.335,0.415,0.268,0
72,HOU,611,729,0.303,0.362,0.247,0
73,KCR,676,845,0.331,0.399,0.274,0
74,LAA,681,702,0.311,0.39,0.248,0
75,LAD,667,692,0.322,0.379,0.252,0
76,MIL,750,804,0.335,0.424,0.262,0
77,MIN,781,671,0.341,0.422,0.273,1
79,NYY,859,693,0.35,0.436,0.267,1
80,OAK,663,626,0.324,0.378,0.256,0
81,PHI,772,640,0.332,0.413,0.26,1
83,SDP,665,581,0.317,0.371,0.246,0
84,SEA,513,698,0.298,0.339,0.236,0
85,SFG,697,583,0.321,0.408,0.257,1
86,STL,736,641,0.332,0.402,0.263,0
87,TBR,802,649,0.333,0.403,0.247,1
88,TEX,787,687,0.338,0.419,0.276,1
91,ARI,720,782,0.324,0.418,0.253,0
93,BAL,741,876,0.332,0.415,0.268,0
94,BOS,872,736,0.352,0.454,0.27,1
96,CHW,724,732,0.329,0.411,0.258,0
98,CLE,773,865,0.339,0.417,0.264,0
99,COL,804,715,0.343,0.441,0.261,1
101,FLA,772,766,0.34,0.416,0.268,0
102,HOU,643,770,0.319,0.4,0.26,0
104,LAA,883,761,0.35,0.441,0.285,1
106,MIL,785,818,0.341,0.426,0.263,0
107,MIN,817,765,0.345,0.429,0.274,1
108,NYM,671,757,0.335,0.394,0.27,0
110,OAK,759,761,0.328,0.397,0.262,0
111,PHI,820,709,0.334,0.447,0.258,1
112,PIT,636,768,0.318,0.387,0.252,0
113,SDP,638,769,0.321,0.381,0.242,0
114,SEA,640,692,0.314,0.402,0.258,0
115,SFG,657,611,0.309,0.389,0.257,0
116,STL,730,640,0.332,0.415,0.263,1
118,TEX,784,740,0.32,0.445,0.26,0
119,TOR,798,771,0.333,0.44,0.266,0
120,WSN,710,874,0.337,0.406,0.258,0
121,ARI,720,706,0.327,0.415,0.251,0
122,ATL,753,778,0.345,0.408,0.27,0
123,BAL,782,869,0.333,0.429,0.267,0
124,BOS,845,694,0.358,0.447,0.28,1
127,CIN,704,800,0.321,0.408,0.247,0
130,DET,821,857,0.34,0.444,0.271,0
131,FLA,770,767,0.326,0.433,0.254,0
132,HOU,712,743,0.323,0.415,0.263,0
133,KCR,691,781,0.32,0.397,0.269,0
135,LAD,700,648,0.333,0.399,0.264,1
136,MIL,750,689,0.325,0.431,0.253,1
137,MIN,829,745,0.34,0.408,0.279,0
139,NYY,789,727,0.342,0.427,0.271,0
140,OAK,646,690,0.318,0.369,0.242,0
141,PHI,799,680,0.332,0.438,0.255,1
142,PIT,735,884,0.32,0.403,0.258,0
143,SDP,637,764,0.317,0.39,0.25,0
144,SEA,671,811,0.318,0.389,0.265,0
146,STL,779,725,0.35,0.433,0.281,0
147,TBR,774,671,0.34,0.422,0.26,1
149,TOR,714,610,0.331,0.399,0.264,0
150,WSN,641,825,0.323,0.373,0.251,0
151,ARI,712,732,0.321,0.413,0.25,1
152,ATL,810,733,0.339,0.435,0.275,0
153,BAL,756,868,0.333,0.412,0.272,0
154,BOS,867,657,0.362,0.444,0.279,1
158,CLE,811,704,0.343,0.428,0.268,1
160,DET,887,797,0.345,0.458,0.287,0
161,FLA,790,891,0.336,0.448,0.267,0
162,HOU,723,813,0.33,0.412,0.26,0
163,KCR,706,778,0.322,0.388,0.261,0
166,MIL,801,776,0.329,0.456,0.262,0
167,MIN,718,725,0.33,0.391,0.264,0
168,NYM,804,750,0.342,0.432,0.275,0
169,NYY,968,777,0.366,0.463,0.29,1
171,PHI,892,821,0.354,0.458,0.274,1
172,PIT,724,846,0.325,0.411,0.263,0
173,SDP,741,666,0.322,0.411,0.251,0
174,SEA,794,813,0.337,0.425,0.287,0
179,TOR,753,699,0.327,0.419,0.259,0
180,WSN,673,783,0.325,0.39,0.256,0
181,ARI,773,788,0.331,0.424,0.267,0
182,ATL,849,805,0.337,0.455,0.27,0
183,BAL,768,899,0.339,0.424,0.277,0
184,BOS,820,825,0.351,0.435,0.269,0
186,CHW,868,794,0.342,0.464,0.28,0
187,CIN,749,801,0.336,0.432,0.257,0
189,COL,813,812,0.341,0.433,0.27,0
190,DET,822,675,0.329,0.449,0.274,1
191,FLA,758,772,0.331,0.435,0.264,0
192,HOU,735,719,0.332,0.409,0.255,0
193,KCR,757,971,0.332,0.411,0.271,0
195,LAD,820,751,0.348,0.432,0.276,1
196,MIL,730,833,0.327,0.42,0.258,0
197,MIN,801,683,0.347,0.425,0.287,1
198,NYM,834,731,0.334,0.445,0.264,1
199,NYY,930,767,0.363,0.461,0.285,1
200,OAK,771,727,0.34,0.412,0.26,1
201,PHI,865,812,0.347,0.447,0.267,0
202,PIT,691,797,0.327,0.397,0.263,0
203,SDP,731,679,0.332,0.416,0.263,1
205,SFG,746,790,0.324,0.422,0.259,0
207,TBD,689,856,0.314,0.42,0.255,0
209,TOR,809,754,0.348,0.463,0.284,0
210,WSN,746,872,0.338,0.418,0.262,0
211,ARI,696,856,0.332,0.421,0.256,0
213,BAL,729,800,0.327,0.434,0.269,0
216,CHW,741,645,0.322,0.425,0.262,1
217,CIN,820,889,0.339,0.446,0.261,0
219,COL,740,862,0.333,0.411,0.267,0
220,DET,723,787,0.321,0.428,0.272,0
222,HOU,693,609,0.322,0.408,0.256,1
224,LAA,761,643,0.325,0.409,0.27,1
225,LAD,685,755,0.326,0.395,0.253,0
226,MIL,726,697,0.331,0.423,0.259,0
228,NYM,722,648,0.322,0.416,0.258,0
229,NYY,886,789,0.355,0.45,0.276,1
233,SDP,684,726,0.333,0.391,0.257,1
234,SEA,699,751,0.317,0.391,0.256,0
235,SFG,649,745,0.319,0.396,0.261,0
236,STL,805,634,0.339,0.423,0.27,1
237,TBD,750,936,0.329,0.425,0.274,0
239,TOR,775,705,0.331,0.407,0.265,0
242,ARI,615,899,0.31,0.393,0.253,0
243,ATL,803,668,0.343,0.434,0.27,1
244,BAL,842,830,0.345,0.432,0.281,0
245,BOS,949,768,0.36,0.472,0.282,1
246,CHC,789,665,0.328,0.458,0.268,0
251,DET,827,844,0.337,0.449,0.272,0
252,FLA,718,700,0.329,0.406,0.264,0
253,HOU,803,698,0.342,0.436,0.267,1
254,KCR,720,905,0.322,0.397,0.259,0
256,MIL,634,757,0.321,0.387,0.248,0
257,MIN,780,715,0.332,0.431,0.266,1
258,MON,635,769,0.313,0.392,0.249,0
259,NYM,684,731,0.317,0.409,0.249,0
260,NYY,897,808,0.353,0.458,0.268,1
261,OAK,793,742,0.343,0.433,0.27,0
262,PHI,840,781,0.345,0.443,0.267,0
264,SDP,768,705,0.342,0.414,0.273,0
265,SEA,698,823,0.331,0.396,0.27,0
266,SFG,850,770,0.357,0.438,0.27,0
267,STL,855,659,0.344,0.46,0.278,1
268,TBD,714,842,0.32,0.405,0.258,0
271,ANA,736,743,0.33,0.413,0.268,0
272,ARI,717,685,0.33,0.417,0.263,0
273,ATL,907,740,0.349,0.475,0.284,1
275,BOS,961,809,0.36,0.491,0.289,1
276,CHC,724,683,0.323,0.416,0.259,1
278,CIN,694,886,0.318,0.395,0.245,0
279,CLE,699,778,0.316,0.401,0.254,0
280,COL,853,892,0.344,0.445,0.267,0
281,DET,591,928,0.3,0.375,0.24,0
282,FLA,751,692,0.333,0.421,0.266,1
283,HOU,805,677,0.336,0.431,0.263,0
284,KCR,836,867,0.336,0.427,0.274,0
286,MIL,714,873,0.329,0.419,0.256,0
288,MON,711,716,0.326,0.401,0.258,0
291,OAK,768,643,0.327,0.417,0.254,1
292,PHI,791,697,0.343,0.419,0.261,0
293,PIT,753,801,0.338,0.42,0.267,0
294,SDP,678,831,0.333,0.388,0.261,0
295,SEA,795,637,0.344,0.41,0.271,0
297,STL,876,796,0.35,0.454,0.279,0
298,TBD,715,852,0.32,0.404,0.265,0
300,TOR,894,826,0.349,0.455,0.279,0
303,ATL,708,565,0.331,0.409,0.26,1
307,CHW,856,798,0.338,0.449,0.268,0
308,CIN,709,774,0.33,0.408,0.253,0
309,CLE,739,837,0.321,0.412,0.249,0
310,COL,778,898,0.337,0.423,0.274,0
311,DET,575,864,0.3,0.379,0.248,0
312,FLA,699,763,0.337,0.403,0.261,0
315,LAD,713,643,0.32,0.409,0.264,0
316,MIL,627,821,0.32,0.39,0.253,0
317,MIN,768,712,0.332,0.437,0.272,1
318,MON,735,718,0.334,0.418,0.261,0
319,NYM,690,703,0.322,0.395,0.256,0
320,NYY,897,697,0.354,0.455,0.275,1
321,OAK,800,654,0.339,0.432,0.261,1
322,PHI,710,724,0.339,0.422,0.259,0
323,PIT,641,730,0.319,0.381,0.244,0
324,SDP,662,815,0.321,0.381,0.253,0
326,SFG,783,616,0.344,0.442,0.267,1
327,STL,787,648,0.338,0.425,0.268,1
328,TBD,673,918,0.314,0.39,0.253,0
329,TEX,843,882,0.338,0.455,0.269,0
332,ARI,818,677,0.341,0.442,0.267,1
333,ATL,729,643,0.324,0.412,0.26,1
335,BOS,772,745,0.334,0.439,0.266,0
336,CHC,777,701,0.336,0.43,0.261,0
337,CHW,798,795,0.334,0.451,0.268,0
339,CLE,897,821,0.35,0.458,0.278,1
342,FLA,742,744,0.326,0.423,0.264,0
343,HOU,847,769,0.347,0.451,0.271,1
345,LAD,758,744,0.323,0.425,0.255,0
347,MIN,771,766,0.337,0.433,0.272,0
348,MON,670,812,0.319,0.396,0.253,0
349,NYM,642,713,0.323,0.387,0.249,0
352,PHI,746,719,0.329,0.414,0.26,0
353,PIT,657,858,0.313,0.393,0.247,0
354,SDP,789,812,0.336,0.399,0.252,0
356,SFG,799,748,0.342,0.46,0.266,0
359,TEX,890,968,0.344,0.471,0.275,0
360,TOR,767,753,0.325,0.43,0.263,0
362,ARI,792,754,0.333,0.429,0.265,0
363,ATL,810,714,0.346,0.429,0.271,1
365,BOS,792,745,0.341,0.423,0.267,0
366,CHC,764,904,0.335,0.411,0.256,0
369,CLE,950,816,0.367,0.47,0.288,0
