,Team,RS,RA,OBP,SLG,BA,Playoffs
3,BAL,712,705,0.311,0.417,0.247,1
4,BOS,734,806,0.315,0.415,0.26,0
11,HOU,583,794,0.302,0.371,0.236,0
16,MIL,776,733,0.325,0.437,0.259,0
18,NYM,650,709,0.316,0.386,0.249,0
21,PHI,684,680,0.317,0.4,0.255,0
25,SFG,718,649,0.327,0.397,0.269,1
30,WSN,731,594,0.322,0.428,0.261,1
33,BAL,708,860,0.316,0.413,0.257,0
39,COL,735,774,0.329,0.41,0.258,0
46,MIL,721,638,0.325,0.425,0.261,1
47,MIN,619,804,0.306,0.36,0.247,0
49,NYY,867,657,0.343,0.444,0.263,1
50,OAK,645,679,0.311,0.369,0.244,0
53,SDP,593,611,0.305,0.349,0.237,0
58,TEX,855,677,0.34,0.46,0.283,1
59,TOR,743,761,0.317,0.413,0.249,0
64,BOS,818,744,0.339,0.451,0.268,0
65,CHC,685,767,0.32,0.401,0.257,0
66,CHW,752,704,0.332,0.42,0.268,0
71,FLA,719,717,0.321,0.403,0.254,0
78,NYM,656,652,0.314,0.383,0.249,0
82,PIT,587,866,0.304,0.373,0.242,0
89,TOR,755,728,0.312,0.454,0.248,0
90,WSN,655,742,0.318,0.39,0.25,0
92,ATL,735,641,0.339,0.405,0.263,0
95,CHC,707,672,0.332,0.407,0.255,0
97,CIN,673,723,0.318,0.394,0.247,0
100,DET,743,745,0.331,0.416,0.26,0
103,KCR,686,842,0.318,0.405,0.259,0
105,LAD,780,611,0.346,0.412,0.27,1
109,NYY,915,753,0.362,0.478,0.283,1
117,TBR,803,754,0.343,0.439,0.263,0
125,CHC,855,671,0.354,0.443,0.278,1
126,CHW,811,729,0.332,0.448,0.263,1
128,CLE,805,761,0.339,0.424,0.262,0
129,COL,747,822,0.336,0.415,0.263,0
134,LAA,765,697,0.33,0.413,0.268,1
138,NYM,799,715,0.34,0.42,0.266,0
145,SFG,640,759,0.321,0.382,0.262,0
148,TEX,901,967,0.354,0.462,0.283,0
155,CHC,752,690,0.333,0.422,0.271,1
156,CHW,693,839,0.318,0.404,0.246,0
157,CIN,783,853,0.335,0.436,0.267,0
159,COL,860,758,0.354,0.437,0.28,1
164,LAA,822,731,0.345,0.417,0.284,1
165,LAD,735,727,0.337,0.406,0.275,0
170,OAK,741,758,0.338,0.407,0.256,0
175,SFG,683,720,0.322,0.387,0.254,0
176,STL,725,829,0.337,0.405,0.274,0
177,TBD,782,944,0.336,0.433,0.268,0
178,TEX,816,844,0.328,0.426,0.263,0
185,CHC,716,834,0.319,0.422,0.268,0
188,CLE,870,782,0.349,0.457,0.28,0
194,LAA,766,732,0.334,0.425,0.274,0
204,SEA,756,792,0.325,0.424,0.272,0
206,STL,781,762,0.337,0.431,0.269,1
208,TEX,835,784,0.338,0.446,0.278,0
212,ATL,769,674,0.333,0.435,0.265,1
214,BOS,910,805,0.357,0.454,0.281,1
215,CHC,703,714,0.324,0.44,0.27,0
218,CLE,790,642,0.334,0.453,0.271,0
221,FLA,717,732,0.339,0.409,0.272,0
223,KCR,701,935,0.32,0.396,0.263,0
227,MIN,688,662,0.323,0.391,0.259,0
230,OAK,772,658,0.33,0.407,0.262,0
231,PHI,807,726,0.348,0.423,0.27,0
232,PIT,680,769,0.322,0.4,0.259,0
238,TEX,865,858,0.329,0.468,0.267,0
240,WSN,639,673,0.322,0.386,0.252,0
241,ANA,836,734,0.341,0.429,0.282,1
247,CHW,865,831,0.333,0.457,0.268,0
248,CIN,750,907,0.331,0.418,0.25,0
249,CLE,858,857,0.351,0.444,0.276,0
250,COL,833,923,0.345,0.455,0.275,0
255,LAD,761,684,0.332,0.423,0.262,1
263,PIT,680,744,0.321,0.401,0.26,0
269,TEX,860,794,0.329,0.457,0.266,0
270,TOR,719,823,0.328,0.403,0.26,0
274,BAL,743,820,0.323,0.405,0.268,0
277,CHW,791,715,0.331,0.446,0.263,0
285,LAD,574,556,0.303,0.368,0.243,0
287,MIN,801,758,0.341,0.431,0.277,1
289,NYM,642,754,0.314,0.374,0.247,0
290,NYY,877,716,0.356,0.453,0.271,1
296,SFG,755,638,0.338,0.425,0.264,1
299,TEX,826,969,0.33,0.454,0.266,0
301,ANA,851,644,0.341,0.433,0.282,1
302,ARI,819,674,0.346,0.423,0.267,1
304,BAL,667,773,0.309,0.403,0.246,0
305,BOS,859,665,0.345,0.444,0.277,0
306,CHC,706,759,0.321,0.413,0.246,0
313,HOU,749,695,0.338,0.417,0.262,0
314,KCR,737,891,0.323,0.398,0.256,0
325,SEA,814,699,0.35,0.419,0.275,0
330,TOR,813,828,0.327,0.43,0.261,0
331,ANA,691,730,0.327,0.405,0.261,0
334,BAL,687,829,0.319,0.38,0.248,0
338,CIN,735,850,0.324,0.419,0.262,0
340,COL,923,906,0.354,0.483,0.292,0
341,DET,724,876,0.32,0.409,0.26,0
344,KCR,729,858,0.318,0.409,0.266,0
346,MIL,740,806,0.319,0.426,0.251,0
350,NYY,804,713,0.334,0.435,0.267,1
351,OAK,884,645,0.345,0.439,0.264,1
355,SEA,927,627,0.36,0.445,0.288,1
357,STL,814,684,0.339,0.441,0.27,1
358,TBD,672,887,0.32,0.388,0.258,0
361,ANA,864,869,0.352,0.472,0.28,0
364,BAL,794,913,0.341,0.435,0.272,0
367,CHW,978,839,0.356,0.47,0.286,1
368,CIN,825,765,0.343,0.447,0.274,0
373,HOU,938,944,0.361,0.477,0.278,0
380,NYY,871,814,0.354,0.45,0.277,1
388,TBD,733,842,0.329,0.399,0.257,0
390,TOR,861,908,0.341,0.469,0.275,0
393,ATL,840,661,0.341,0.436,0.266,1
395,BOS,836,718,0.35,0.448,0.278,1
396,CHC,747,920,0.329,0.42,0.257,0
404,KCR,856,921,0.348,0.433,0.282,0
406,MIL,815,886,0.353,0.426,0.273,0
411,OAK,893,846,0.355,0.446,0.259,0
412,PHI,841,846,0.351,0.431,0.275,0
416,SFG,872,831,0.356,0.434,0.271,0
420,TOR,883,862,0.352,0.457,0.28,0
421,ANA,787,783,0.335,0.415,0.272,0
422,ARI,665,812,0.314,0.393,0.246,0
430,COL,826,855,0.347,0.461,0.291,0
440,NYY,965,656,0.364,0.46,0.288,1
442,PHI,713,808,0.326,0.395,0.264,0
443,PIT,650,718,0.311,0.374,0.254,0
446,SFG,845,739,0.353,0.421,0.274,0
447,STL,810,782,0.341,0.441,0.258,0
454,BOS,851,857,0.352,0.463,0.291,0
459,COL,923,908,0.357,0.478,0.288,0
465,MIL,681,742,0.325,0.398,0.26,0
470,OAK,764,946,0.339,0.423,0.26,0
474,SEA,925,833,0.355,0.485,0.28,1
475,SFG,784,793,0.337,0.414,0.258,1
485,CIN,778,773,0.331,0.422,0.256,0
487,COL,961,964,0.355,0.472,0.287,0
488,DET,783,1103,0.323,0.42,0.256,0
489,FLA,688,703,0.329,0.393,0.257,0
491,KCR,746,786,0.332,0.398,0.267,0
495,MON,741,668,0.327,0.406,0.262,0
498,OAK,861,900,0.344,0.452,0.265,0
500,PIT,776,833,0.329,0.407,0.266,0
501,SDP,771,682,0.338,0.402,0.265,1
503,SFG,752,862,0.331,0.388,0.253,0
505,TEX,928,799,0.358,0.469,0.284,1
506,TOR,766,809,0.331,0.42,0.259,0
511,CHC,738,739,0.325,0.414,0.27,0
515,COL,758,967,0.323,0.422,0.273,0
517,FLA,581,724,0.314,0.346,0.248,0
520,LAD,675,662,0.321,0.383,0.261,0
532,STL,758,744,0.341,0.395,0.272,0
533,TEX,835,751,0.329,0.431,0.267,0
536,BAL,705,656,0.34,0.398,0.259,0
537,BOS,599,669,0.321,0.347,0.246,0
539,CHC,593,624,0.307,0.364,0.254,0
541,CIN,660,609,0.328,0.382,0.26,0
544,HOU,608,668,0.313,0.359,0.246,0
546,LAD,548,636,0.313,0.339,0.248,0
549,MON,648,581,0.313,0.37,0.252,0
554,PIT,693,595,0.324,0.381,0.255,1
560,TOR,780,682,0.333,0.414,0.263,1
563,BOS,731,712,0.34,0.401,0.269,0
564,CAL,653,649,0.314,0.374,0.255,0
565,CHC,695,734,0.309,0.39,0.253,0
569,DET,817,794,0.333,0.416,0.247,0
570,HOU,605,717,0.309,0.347,0.244,0
574,MIN,776,652,0.344,0.42,0.28,1
576,NYM,640,646,0.317,0.365,0.244,0
578,OAK,760,776,0.331,0.389,0.248,0
580,PIT,768,632,0.338,0.398,0.263,1
588,BAL,669,698,0.33,0.37,0.245,0
594,CLE,732,737,0.324,0.391,0.267,0
596,HOU,573,656,0.313,0.345,0.242,0
599,MIL,732,760,0.32,0.384,0.256,0
600,MIN,666,729,0.324,0.385,0.265,0
601,MON,662,598,0.322,0.37,0.25,0
602,NYM,775,613,0.323,0.408,0.256,0
604,OAK,733,570,0.336,0.391,0.254,1
606,PIT,733,619,0.33,0.405,0.259,1
611,TEX,676,696,0.331,0.376,0.259,0
620,CLE,604,654,0.31,0.365,0.245,0
621,DET,617,816,0.318,0.351,0.242,0
627,MON,632,630,0.319,0.361,0.247,0
633,SDP,642,626,0.319,0.369,0.251,0
635,SFG,699,600,0.316,0.39,0.25,1
637,TEX,695,714,0.326,0.394,0.263,0
641,BOS,813,689,0.357,0.42,0.283,1
642,CAL,714,771,0.321,0.385,0.261,0
643,CHC,660,694,0.31,0.383,0.261,0
646,CLE,666,731,0.314,0.387,0.261,0
647,DET,703,658,0.324,0.378,0.25,0
654,NYM,703,532,0.325,0.396,0.256,1
663,TEX,637,735,0.32,0.368,0.252,0
664,TOR,763,680,0.332,0.419,0.268,0
666,BAL,729,880,0.322,0.418,0.258,0
667,BOS,842,825,0.352,0.43,0.278,0
669,CHC,720,801,0.326,0.432,0.264,0
672,CLE,742,957,0.324,0.422,0.263,0
674,HOU,648,678,0.318,0.373,0.253,0
675,KCR,715,691,0.328,0.412,0.262,0
680,NYM,823,698,0.339,0.434,0.268,0
682,OAK,806,789,0.333,0.428,0.26,0
683,PHI,702,749,0.327,0.41,0.254,0
686,SEA,760,801,0.335,0.428,0.272,0
694,CAL,786,684,0.338,0.404,0.255,1
695,CHC,680,781,0.318,0.398,0.256,0
697,CIN,732,717,0.325,0.387,0.254,0
701,KCR,654,673,0.313,0.39,0.252,0
704,MIN,741,839,0.325,0.428,0.261,0
705,MON,637,688,0.322,0.379,0.254,0
706,NYM,783,578,0.339,0.401,0.263,1
707,NYY,797,738,0.347,0.43,0.271,0
708,OAK,731,760,0.322,0.39,0.252,0
710,PIT,663,700,0.321,0.374,0.25,0
712,SEA,718,835,0.326,0.399,0.253,0
713,SFG,698,618,0.322,0.375,0.253,0
714,STL,601,611,0.309,0.327,0.236,0
715,TEX,771,743,0.331,0.428,0.267,0
727,KCR,687,639,0.313,0.401,0.252,1
731,MON,633,636,0.31,0.375,0.247,0
732,NYM,695,568,0.323,0.385,0.257,0
735,PHI,667,673,0.312,0.383,0.245,0
740,STL,747,572,0.335,0.379,0.264,1
742,TOR,759,588,0.331,0.425,0.269,1
743,ATL,632,655,0.317,0.361,0.247,0
745,BOS,810,764,0.341,0.441,0.283,0
747,CHC,762,658,0.331,0.397,0.26,1
748,CHW,679,736,0.314,0.395,0.247,0
753,KCR,673,686,0.317,0.399,0.268,1
754,LAD,580,600,0.306,0.348,0.244,0
755,MIL,641,734,0.317,0.37,0.262,0
761,PHI,720,690,0.333,0.407,0.266,0
763,SDP,686,634,0.317,0.371,0.259,1
764,SEA,682,774,0.324,0.384,0.258,0
768,TOR,750,696,0.331,0.421,0.273,0
776,CLE,704,785,0.338,0.369,0.265,0
781,MIL,764,708,0.333,0.418,0.277,0
782,MIN,709,822,0.319,0.401,0.261,0
791,SFG,687,697,0.325,0.375,0.247,0
795,ATL,739,702,0.325,0.383,0.256,1
797,BOS,753,713,0.34,0.407,0.274,0
798,CAL,814,670,0.347,0.433,0.274,1
800,CHW,786,710,0.337,0.413,0.273,0
806,LAD,691,612,0.327,0.388,0.264,0
808,MIN,657,819,0.316,0.396,0.257,0
811,NYY,709,716,0.328,0.398,0.256,0
813,PHI,664,654,0.323,0.376,0.26,0
825,CHC,614,728,0.309,0.365,0.251,0
828,CLE,738,807,0.35,0.381,0.277,0
829,DET,830,757,0.348,0.409,0.273,0
833,MIL,811,682,0.329,0.448,0.275,0
834,MIN,670,724,0.319,0.381,0.265,0
837,NYY,820,662,0.343,0.425,0.267,1
838,OAK,686,642,0.322,0.385,0.259,0
839,PHI,728,639,0.327,0.4,0.27,1
841,SDP,591,654,0.324,0.342,0.255,0
842,SEA,610,793,0.308,0.356,0.248,0
843,SFG,573,634,0.308,0.342,0.244,0
846,TOR,624,762,0.309,0.383,0.251,0
847,ATL,669,763,0.318,0.377,0.256,0
850,CAL,866,768,0.351,0.429,0.282,1
853,CIN,731,644,0.338,0.396,0.264,1
855,DET,770,738,0.339,0.415,0.269,0
856,HOU,583,582,0.315,0.344,0.256,0
862,NYM,593,706,0.313,0.35,0.25,0
865,PHI,683,718,0.34,0.396,0.266,0
867,SDP,603,681,0.311,0.348,0.242,0
871,TEX,750,698,0.334,0.409,0.278,0
873,ATL,600,750,0.315,0.363,0.244,0
879,CIN,710,688,0.334,0.393,0.256,0
885,MIL,804,650,0.339,0.432,0.276,0
887,MON,633,611,0.306,0.379,0.254,0
888,NYM,607,690,0.314,0.352,0.245,0
891,PHI,708,586,0.328,0.388,0.258,1
892,PIT,684,637,0.32,0.385,0.257,0
893,SDP,591,598,0.321,0.348,0.252,0
902,CAL,675,695,0.324,0.386,0.255,0
905,CIN,802,725,0.345,0.436,0.274,0
912,MIN,867,776,0.348,0.417,0.282,0
913,MON,665,736,0.318,0.402,0.26,0
918,PIT,734,665,0.331,0.413,0.274,0
921,SFG,673,711,0.323,0.383,0.253,0
922,STL,737,688,0.33,0.388,0.27,0
